File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26638476/final.py,466,22.21697795158789,26,165,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26635732/final.py,339,40.956181413552294,18,75,6,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26646462/final.py,665,19.00341493915637,31,213,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26556283/final.py,346,37.079783823394706,14,64,3,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26556283/porter.py,357,37.273737694506195,17,241,2,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26640302/final.py,399,20.29375576745617,24,171,4,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26626349/finaloption.py,423,31.966090642321486,21,177,2,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26626349/final.py,416,32.745306883237916,21,170,2,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26505117/final.py,339,41.74178762414057,8,65,2,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26617064/final.py,311,41.053284728147055,7,58,2,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26421656/final.py,467,29.740127758420442,28,153,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26628440/final.py,324,24.686550891675108,6,68,1,4
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26635902/final.py,319,34.934254513037665,17,55,4,8
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26533271/final.py,515,47.151398916967516,25,187,3,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26585029/final.py,781,17.29665545220661,33,298,3,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26423702/final.py,503,22.142133794007268,22,195,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_19233663/final.py,82,36.61914460285133,4,19,3,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26622712/final.py,359,27.553538730992756,23,160,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26466500/final.py,302,23.60577422369924,15,62,5,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26466500/porter.py,375,37.675864749319864,17,240,2,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26636323/final.py,272,35.19883441892355,10,38,2,4
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26500976/final.py,617,22.883801462100806,29,278,5,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26611646/final.py,348,33.860445326903985,15,64,2,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26632861/final.py,478,33.64961030159268,24,171,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26625683/final.py,653,18.762346671567055,31,243,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26632096/finalpinball.py,402,30.692076228686062,16,98,2,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26645934/final.py,194,19.750572664800202,7,30,1,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26666517/final.py,416,38.79989139288623,20,149,3,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26566795/final.py,237,23.674868404945528,14,56,3,5
